name	einwohner
Lotzwil	2628
Loveresse	344
Lüscherz	551
Lütschental	226
Lützelflüh	4197
Lyss	15525
Lyssach	1437
Madiswil	3275
Matten bei Interlaken	4115
Mattstetten	575
Meienried	50
Meikirch	2473
Meinisberg	1298
Meiringen	4639
Melchnau	1489
Merzligen	391
Mirchel	626
Mont-Tramelan	109
Moosseedorf	4130
Mörigen	856
Mötschwil	121
Moutier	7385
Mühleberg	3013
Mühlethurnen	1426
Münchenbuchsee	10355
Münchenwiler	538
Münsingen	12935
Müntschemier	1505
Muri bei Bern	13023
Neuenegg	5606
Nidau	6872
Niederbipp	4805
Niederhünigen	656
Niedermuhlern	501
Niederönz	1681
Niederried b. Interlaken	365
Nods	769
Oberbalm	849
Oberbipp	1750
Oberburg	2970
Oberdiessbach	3533
Oberhofen am Thunersee	2425
Oberhünigen	313
Oberlangenegg	464
Oberried am Brienzersee	443
Obersteckholz	422
Oberthal	723
Oberwil bei Büren	901
Oberwil im Simmental	789
Ochlenberg	570
Oeschenbach	221
Oppligen	641
Orpund	2873
Orvin	1196
Ostermundigen	17772
Perrefitte	467
Péry-La Heutte	1890
Petit-Val	399
Pieterlen	4651
Plateau de Diesse	2028
Pohlern	247
Port	3727
Radelfingen	1287
Rapperswil (BE)	2560
Rebévelier	42
Reconvilier	2344
Reichenbach im Kandertal	3624
Reisiswil	174
Renan (BE)	927
Reutigen	1000
Riggisberg	2565
Ringgenberg (BE)	2574
Roches (BE)	201
Roggwil (BE)	4056
Rohrbach	1484
Rohrbachgraben	394
Romont (BE)	204
Röthenbach im Emmental	1169
Rubigen	2877
Rüderswil	2392
Rüdtligen-Alchenflüh	2419
Rüeggisberg	1761
Rüegsau	3224
Rumendingen	79
Rumisberg	482
Rümligen	437
Rüschegg	1676
Rüti bei Büren	857
Rüti bei Lyssach	167
Rütschelen	566
Saanen	6817
Safnern	1935
Saicourt	644
Saint-Imier	5140
Sauge	819
Saules (BE)	152
Saxeten	93
Schangnau	905
Schattenhalb	550
Scheuren	437
Schüpfen	3773
Schwadernau	670
Schwanden bei Brienz	630
Schwarzenburg	6744
Schwarzhäusern	525
Schwendibach	237
Seeberg	1529
Seedorf (BE)	3084
Seftigen	2161
Signau	2624
Sigriswil	4829
Siselen	603
Sonceboz-Sombeval	1952
Sonvilier	1237
Sorvilier	288
Spiez	12870
St. Stephan	1330
Steffisburg	15692
Stettlen	3137
Stocken-Höfen	1012
Studen (BE)	3318
Sumiswald	5026
Sutz-Lattrigen	1391
Täuffelen	2890
Tavannes	3570
Teuffenthal (BE)	166
Thierachern	2471
Thörigen	1158
Thun	43632
Thunstetten	3425
Toffen	2526
Trachselwald	962
Tramelan	4580
Treiten	411
Trub	1324
Trubschachen	1463
Tschugg	472
Twann-Tüscherz	1163
Uebeschi	685
Uetendorf	5843
Unterlangenegg	1008
Unterseen	5852
Ursenbach	879
Urtenen-Schönbühl	6317
Uttigen	2129
Utzenstorf	4376
Valbirse	4012
Vechigen	5345
Villeret	924
Vinelz	877
Wachseldorn	233
Wald BE	1174
Walkringen	1768
Walliswil bei Niederbipp	217
Walliswil bei Wangen	606
Walperswil	1032
Walterswil (BE)	541
Wangen an der Aare	2321
Wangenried	405
Wattenwil	3018
Wengi	608
Wichtrach	4354
Wiedlisbach	2378
Wiggiswil	103
Wilderswil	2669
Wiler bei Utzenstorf	985
Wileroltigen	372
Willadingen	204
Wimmis	2559
Wohlen bei Bern	9266
Wolfisberg	187
Worb	11479
Worben	2411
Wynau	1660
Wynigen	2093
Wyssachen	1108
Zäziwil	1579
Zielebach	319
Zollikofen	10471
Zuzwil (BE)	570
Zweisimmen	3040
Zwieselberg	329
